lead_id,age,income,lead_source,website_visits,time_spent_on_site,pages_viewed,email_opened,previous_interaction,lead_score,industry,follow_up_calls,converted
1,56,136748,Paid Ad,14,15.07,4,1,1,11,Retail,3,0
2,46,25287,Email,10,4.3,6,1,1,17,Tech,4,1
3,32,146593,Social Media,16,2.21,6,1,0,65,Healthcare,0,0
4,60,54387,Organic,16,7.75,11,1,0,73,Healthcare,1,0
5,25,28512,Referral,10,1.45,2,1,1,78,Healthcare,1,1
6,38,21342,Email,13,4.15,2,1,0,93,Retail,0,1
7,56,83076,Organic,6,2.22,4,0,0,16,Finance,3,0
8,36,128872,Email,12,5.34,1,1,0,67,Education,4,1
9,40,39216,Email,9,1.37,9,0,0,70,Tech,2,0
10,28,137512,Referral,13,1.06,14,0,0,61,Education,0,0
11,28,136682,Social Media,4,12.52,14,0,1,40,Finance,4,0
12,41,113070,Paid Ad,11,0.54,13,0,0,94,Finance,4,1
13,53,99767,Social Media,18,3.53,7,1,0,33,Retail,1,0
14,57,117829,Referral,11,1.25,12,1,0,69,Healthcare,2,1
15,41,46614,Referral,4,0.2,7,1,1,44,Healthcare,0,1
16,20,56258,Referral,18,0.18,3,0,1,57,Finance,1,0
17,39,113789,Organic,1,0.96,11,1,1,50,Retail,1,0
18,19,62078,Social Media,7,10.08,12,1,0,33,Retail,3,1
19,41,126288,Social Media,6,1.66,3,1,1,43,Tech,4,0
20,61,103524,Email,15,15.02,1,0,1,14,Healthcare,0,1
21,47,116573,Email,18,4.36,3,0,1,77,Finance,0,1
22,55,32219,Email,11,2.87,3,1,1,69,Education,0,0
23,19,20235,Referral,15,4.34,4,0,0,49,Healthcare,1,0
24,38,62929,Social Media,16,3.64,4,0,1,31,Tech,3,0
25,50,147309,Referral,7,7.11,3,1,1,66,Retail,2,1
26,29,87444,Organic,10,1.66,10,0,0,2,Finance,1,0
27,39,28567,Email,12,2.18,12,0,0,85,Healthcare,2,1
28,61,121834,Referral,14,11.23,8,1,1,85,Education,3,1
29,42,90792,Referral,5,14.64,8,0,0,73,Tech,4,0
30,44,85441,Organic,18,11.15,13,0,1,50,Tech,0,1
31,59,104555,Paid Ad,5,2.72,13,0,0,66,Healthcare,2,0
32,45,93698,Social Media,3,7.58,1,0,0,75,Education,1,0
33,33,144450,Paid Ad,5,3.23,7,0,1,92,Tech,2,0
34,32,137248,Email,17,3.44,11,0,0,47,Finance,4,0
35,64,25415,Referral,19,1.15,2,0,1,16,Tech,0,1
36,61,56159,Organic,19,4.47,1,0,0,6,Education,2,1
37,20,63925,Organic,12,1.03,3,1,1,12,Retail,4,0
38,54,146523,Social Media,9,2.01,4,1,0,65,Retail,1,0
39,24,25951,Paid Ad,1,9.66,13,1,0,3,Healthcare,3,0
40,38,107388,Social Media,18,1.16,6,1,0,9,Education,1,0
41,26,28007,Referral,4,0.37,10,0,0,87,Tech,0,1
42,56,146730,Social Media,10,0.36,14,1,0,16,Tech,1,0
43,35,61832,Organic,7,14.13,5,1,1,51,Retail,1,0
44,21,78596,Organic,1,3.54,14,0,0,5,Retail,1,0
45,42,141101,Email,17,2.63,4,0,1,82,Finance,1,1
46,31,50523,Email,2,8.33,8,0,1,68,Retail,0,0
47,26,108861,Referral,11,9.03,11,0,1,95,Finance,4,0
48,43,144194,Paid Ad,9,2.02,12,0,0,73,Tech,2,1
49,19,106740,Social Media,7,5.91,14,1,1,8,Finance,3,1
50,37,35524,Referral,17,7.37,4,0,0,90,Finance,2,1
51,45,149028,Email,17,5.32,13,1,1,76,Healthcare,2,1
52,64,39282,Social Media,2,0.82,10,1,1,82,Retail,3,1
53,24,43930,Email,6,10.43,12,0,1,20,Finance,0,0
54,61,20077,Social Media,14,3.87,13,1,1,23,Tech,3,0
55,25,125881,Paid Ad,6,1.66,2,1,1,3,Education,0,1
56,64,145501,Referral,2,2.77,3,0,0,23,Finance,2,1
57,52,40611,Social Media,1,0.19,6,1,1,58,Retail,0,0
58,31,36984,Organic,10,0.68,8,1,1,98,Healthcare,4,1
59,34,34060,Organic,5,7.25,8,1,0,2,Tech,3,1
60,53,102985,Social Media,2,0.0,11,0,0,67,Healthcare,4,1
61,57,104056,Social Media,16,2.69,9,0,0,39,Education,2,0
62,21,145329,Social Media,2,3.7,7,0,1,47,Finance,3,1
63,19,63303,Organic,10,0.28,13,1,1,53,Finance,2,0
64,23,79207,Organic,2,18.07,2,0,1,34,Retail,4,1
65,59,95046,Social Media,16,1.28,8,1,1,94,Finance,2,1
66,21,49287,Email,16,1.81,7,0,1,55,Tech,3,0
67,46,113709,Email,19,1.81,8,1,1,88,Education,3,1
68,35,59711,Paid Ad,7,1.31,12,0,0,39,Healthcare,2,0
69,43,31954,Referral,12,0.01,3,0,0,76,Education,3,1
70,61,93340,Email,15,6.53,7,1,1,67,Finance,3,1
71,51,92101,Organic,8,17.03,10,0,1,45,Healthcare,2,1
72,27,91520,Email,6,1.27,13,1,1,77,Retail,4,1
73,53,107062,Paid Ad,10,5.44,9,0,1,12,Education,3,1
74,31,122974,Paid Ad,3,6.77,3,0,1,26,Healthcare,3,0
75,48,38574,Referral,19,9.43,14,1,0,5,Healthcare,3,1
76,32,29184,Email,17,2.75,10,1,0,16,Healthcare,3,1
77,25,39096,Organic,7,1.8,6,1,1,35,Tech,2,0
78,31,87728,Organic,4,1.97,2,0,0,98,Education,4,0
79,40,54016,Social Media,14,6.23,2,1,1,80,Healthcare,4,1
80,57,31246,Organic,15,8.49,5,0,1,1,Education,0,1
81,38,65558,Referral,8,1.0,5,1,1,76,Healthcare,3,0
82,33,138721,Referral,15,2.32,13,1,0,51,Retail,3,1
83,62,38381,Organic,14,11.61,7,1,0,65,Retail,0,1
84,35,147796,Organic,9,8.22,12,1,1,51,Retail,4,0
85,64,56455,Social Media,8,20.95,2,1,0,91,Finance,1,1
86,41,112263,Organic,17,7.02,11,1,0,42,Healthcare,1,0
87,43,24018,Social Media,2,2.5,14,0,1,89,Finance,4,0
88,42,31302,Social Media,3,4.47,13,1,0,21,Education,3,0
89,62,87506,Organic,8,5.41,7,0,0,54,Finance,1,1
90,58,61157,Paid Ad,12,0.41,5,1,1,66,Education,2,1
91,46,74917,Paid Ad,1,3.93,14,1,1,98,Education,2,1
92,32,112738,Social Media,10,6.18,6,1,0,59,Education,0,0
93,62,116646,Organic,3,0.92,8,0,1,57,Finance,4,0
94,18,103122,Paid Ad,6,7.59,10,0,0,11,Healthcare,4,1
95,42,44519,Organic,7,4.38,13,1,1,87,Finance,1,1
96,24,116809,Organic,18,15.21,14,0,1,68,Healthcare,3,1
97,26,107487,Organic,11,0.22,12,1,1,83,Healthcare,4,1
98,41,76819,Email,19,1.54,4,1,1,38,Education,1,0
99,18,100910,Organic,5,4.6,13,0,0,12,Finance,1,0
100,61,140430,Email,19,1.76,7,0,1,40,Healthcare,4,0
101,25,91324,Social Media,11,6.27,6,0,1,56,Retail,1,0
102,41,25408,Paid Ad,12,7.11,10,0,1,52,Healthcare,0,0
103,28,79379,Paid Ad,10,0.54,2,1,0,11,Retail,0,0
104,34,45053,Paid Ad,8,3.61,8,0,0,12,Finance,4,0
105,25,29446,Paid Ad,9,3.56,10,0,1,73,Finance,3,1
106,52,20922,Paid Ad,4,2.3,9,1,1,96,Finance,0,0
107,52,118723,Paid Ad,5,13.51,5,0,1,56,Healthcare,0,0
108,50,71356,Paid Ad,8,8.79,10,0,1,39,Tech,4,1
109,22,30789,Social Media,9,5.97,4,0,1,79,Healthcare,2,1
110,59,117720,Organic,15,6.26,6,0,1,44,Healthcare,1,1
111,56,86656,Referral,15,3.1,8,1,0,34,Education,0,0
112,58,64028,Email,16,12.69,11,1,1,2,Education,2,0
113,45,84484,Referral,14,5.93,3,0,1,4,Healthcare,3,0
114,24,52154,Referral,8,6.53,10,0,1,89,Retail,2,0
115,26,102870,Organic,18,9.89,11,1,1,10,Education,4,1
116,25,22336,Organic,10,1.6,11,0,1,70,Healthcare,3,0
117,29,123677,Organic,6,8.23,1,0,1,55,Tech,3,0
118,51,87779,Paid Ad,12,1.09,4,0,0,9,Retail,2,0
119,50,39029,Social Media,2,2.12,4,0,0,33,Finance,4,0
120,40,79201,Paid Ad,7,2.04,1,0,0,66,Healthcare,0,0
121,41,52265,Social Media,16,19.2,9,0,0,71,Healthcare,2,0
122,54,122916,Social Media,3,9.71,3,0,0,30,Retail,0,0
123,52,132250,Referral,13,6.04,5,0,0,74,Education,2,0
124,61,136553,Referral,3,6.49,6,0,1,70,Education,0,1
125,57,63872,Social Media,18,4.13,8,1,1,65,Education,2,1
126,39,66197,Social Media,11,14.7,6,1,1,69,Finance,3,1
127,44,145733,Paid Ad,8,3.43,3,1,1,40,Retail,1,0
128,52,75180,Paid Ad,6,2.39,6,0,1,62,Retail,3,1
129,18,43710,Referral,1,0.89,1,0,1,31,Education,0,0
130,52,49486,Organic,1,7.71,4,1,0,19,Education,4,0
131,54,91907,Social Media,8,6.63,6,0,1,56,Tech,3,1
132,64,148876,Paid Ad,5,2.43,7,1,0,97,Tech,1,0
133,31,91895,Referral,16,0.13,11,0,0,49,Healthcare,0,0
134,20,84435,Paid Ad,11,9.13,13,1,1,79,Healthcare,3,1
135,18,60631,Social Media,5,0.06,11,1,1,24,Retail,2,1
136,22,149038,Social Media,4,6.08,10,1,1,11,Retail,4,0
137,43,121532,Email,6,17.58,3,0,1,70,Finance,0,1
138,31,40103,Organic,14,2.88,9,1,1,38,Finance,3,0
139,56,84772,Email,19,1.34,12,0,1,16,Tech,0,0
140,44,146108,Referral,9,6.1,12,0,1,44,Healthcare,2,1
141,26,34382,Paid Ad,12,8.49,7,0,0,10,Tech,1,0
142,32,104291,Referral,11,3.95,14,0,1,69,Tech,3,1
143,32,121195,Social Media,14,17.06,1,0,1,22,Healthcare,0,0
144,43,23756,Email,16,0.27,2,0,0,90,Finance,0,1
145,59,40609,Email,1,3.51,1,0,1,69,Healthcare,0,1
146,30,134074,Email,13,6.34,11,1,1,37,Education,1,0
147,49,36478,Referral,13,9.93,9,1,0,1,Education,0,0
148,56,120978,Social Media,2,0.99,9,1,1,85,Education,4,1
149,49,59666,Paid Ad,4,8.05,7,0,1,83,Retail,4,1
150,21,95683,Paid Ad,6,4.02,10,0,1,88,Finance,0,0
151,47,119097,Referral,5,2.53,3,0,1,78,Finance,4,1
152,54,144714,Email,3,0.71,13,0,1,92,Retail,3,0
153,40,120420,Organic,1,10.02,5,1,1,71,Tech,4,1
154,56,91315,Referral,4,0.86,4,0,0,36,Education,0,0
155,62,97834,Referral,2,1.85,7,1,1,48,Education,2,0
156,32,146205,Social Media,5,1.71,14,0,1,51,Tech,3,1
157,60,34153,Paid Ad,3,10.26,9,1,0,32,Healthcare,1,0
158,46,129415,Referral,9,5.58,12,0,0,21,Healthcare,0,0
159,53,96325,Referral,6,7.96,2,1,1,4,Finance,1,1
160,30,129701,Email,18,1.44,13,0,0,17,Retail,2,0
161,49,32999,Email,6,4.9,8,1,1,37,Finance,1,0
162,24,75318,Organic,19,4.24,9,0,1,36,Healthcare,0,0
163,39,20814,Social Media,12,8.94,10,1,0,93,Tech,0,1
164,45,135033,Organic,11,11.83,14,1,1,94,Finance,2,1
165,19,96077,Email,2,0.06,10,0,1,63,Education,0,0
166,59,110474,Paid Ad,15,5.6,9,1,0,9,Education,2,0
167,62,22443,Email,12,0.27,14,0,0,78,Tech,2,0
168,23,95993,Social Media,12,3.98,10,0,0,41,Healthcare,0,1
169,45,95916,Email,9,1.7,14,0,0,47,Education,4,0
170,45,93319,Social Media,2,1.83,7,1,1,43,Education,2,0
171,61,145885,Social Media,3,2.18,9,1,0,81,Retail,0,0
172,61,129777,Social Media,12,4.85,9,0,0,86,Finance,4,0
173,37,37368,Social Media,16,2.03,14,0,0,96,Healthcare,2,1
174,47,35328,Social Media,1,6.6,3,1,0,15,Finance,4,0
175,28,76942,Paid Ad,3,2.59,4,1,0,53,Healthcare,3,0
176,45,111751,Organic,2,0.35,2,1,1,34,Education,3,1
177,42,119131,Referral,9,7.66,10,0,0,97,Retail,4,1
178,56,47306,Organic,19,1.68,3,0,1,27,Finance,2,1
179,50,105451,Social Media,15,2.83,11,0,0,1,Education,0,0
180,18,59915,Paid Ad,18,5.78,11,0,0,93,Healthcare,1,1
181,44,57219,Email,11,2.02,5,0,0,12,Finance,0,0
182,30,100879,Paid Ad,16,0.29,5,1,0,40,Finance,1,1
183,58,131939,Social Media,17,2.34,6,0,0,79,Education,1,0
184,20,84644,Paid Ad,5,14.45,13,1,0,58,Finance,2,0
185,56,80279,Paid Ad,12,5.13,7,1,0,68,Retail,4,1
186,23,73028,Social Media,11,5.57,7,0,0,91,Retail,0,0
187,25,124263,Paid Ad,15,5.0,1,1,1,52,Education,4,0
188,44,20126,Referral,3,1.11,14,0,0,44,Healthcare,3,0
189,26,72329,Referral,1,2.71,2,1,1,19,Education,2,1
190,54,47632,Paid Ad,16,6.95,12,0,0,23,Retail,2,1
191,50,127099,Email,2,0.53,9,0,1,60,Tech,3,0
192,59,85310,Social Media,2,1.63,10,1,0,90,Tech,0,1
